id,name,version,type,issuesCritical,issuesHigh,issuesMedium,issuesLow,dependenciesWithIssues,licenses,projects,license urls,latestVersion,latestVersionPublishedDate,firstPublishedDate,isDeprecated
github.com/gballet/go-verkle@v0.1.1-0.20231031103413-a67434b50f46,github.com/gballet/go-verkle,v0.1.1-0.20231031103413-a67434b50f46,golang,0,0,0,0,,Unlicense,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:Unlicense,,,,
github.com/getsentry/sentry-go@v0.25.0,github.com/getsentry/sentry-go,v0.25.0,golang,0,0,0,0,"github.com/gin-gonic/gin@v1.8.1, github.com/urfave/negroni@v1.0.0, github.com/valyala/fasthttp@v1.40.0",MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/gin-contrib/sse@v0.1.0,github.com/gin-contrib/sse,v0.1.0,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/gin-gonic/gin@v1.8.1,github.com/gin-gonic/gin,v1.8.1,golang,0,3,3,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/goccy/go-json@v0.10.2,github.com/goccy/go-json,v0.10.2,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/godbus/dbus@v5.0.4,github.com/godbus/dbus,v5.0.4,golang,0,0,0,0,,BSD-2-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause,,,,
github.com/go-errors/errors@v1.4.2,github.com/go-errors/errors,v1.4.2,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/gofrs/flock@v0.8.1,github.com/gofrs/flock,v0.8.1,golang,0,0,0,0,,BSD-3-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause,,,,
github.com/gogo/googleapis@v1.4.1,github.com/gogo/googleapis,v1.4.1,golang,0,0,0,0,,Apache-2.0,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,
github.com/gogo/protobuf@v1.3.2,github.com/gogo/protobuf,v1.3.2,golang,0,0,0,0,,BSD-3-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause,,,,
github.com/gogo/status@v1.1.0,github.com/gogo/status,v1.1.0,golang,0,0,0,0,,Apache-2.0,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,
github.com/go-kit/log@v0.2.1,github.com/go-kit/log,v0.2.1,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/golang/glog@v1.2.1,github.com/golang/glog,v1.2.1,golang,0,0,0,0,,Apache-2.0,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,
github.com/golang-jwt/jwt@v4.5.0,github.com/golang-jwt/jwt,v4.5.0,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/golang/protobuf@v1.5.4,github.com/golang/protobuf,v1.5.4,golang,0,0,0,0,,BSD-3-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause,,,,
